,id,gender,age,company_name,intern_role,internship_duration,academic_gpa,number_of_internships_completed,number_of_certification,intern_technical_skills,programming_level,technical_skills_required,technical_interview_score,education,department,internship_success
0,e7455d1d-21a9-4ebe-b701-34068a6d27ad,female,23,CLIMDES,Machine Learning,12,3.8833547661942798,3,9,"['Python', 'CSS', 'HTML']",Intermediate,"['Python', 'SQL', 'Machine Learning']",229,graduate,Mathematics,True
1,698dc96f-3878-4a30-bcfb-52eb290db1cd,male,25,CLIMDES,Frontend,6,2.5001701341788074,1,0,"['SQL', 'R', 'JavaScript']",Intermediate,"['HTML', 'CSS', 'JavaScript']",153,graduate,Statistics,False
2,ac44c580-fea6-4e5f-82c5-4a32659aa02d,male,24,CLIMDES,Machine Learning,3,3.940097021582119,3,4,"['HTML', 'SQL', 'Machine Learning']",Intermediate,"['Python', 'SQL', 'Machine Learning']",230,graduate,Mathematics,True
3,9869eb37-04aa-46d8-8189-d33f4f346b0c,male,25,CLIMDES,Backend,6,2.4818003868865093,1,1,"['SQL', 'Java', 'CSS']",Intermediate,"['Python', 'Java', 'SQL']",182,student,Statistics,False
4,f61912c9-a1bc-4ce6-9f63-3aaedb5fa45b,male,21,CLIMDES,Frontend,12,3.7532023793306752,4,8,"['SQL', 'HTML', 'JavaScript']",Intermediate,"['HTML', 'CSS', 'JavaScript']",239,graduate,Mathematics,True
5,18d1e5e6-fcbf-4283-b19b-71e956976aa6,female,23,CLIMDES,Machine Learning,3,2.400395019878725,2,0,"['SQL', 'Excel', 'Python']",Beginner,"['Python', 'SQL', 'Machine Learning']",193,graduate,Engineering,False
6,4ba14bb6-5a83-4bfa-8860-f447252b3b06,male,23,CLIMDES,Backend,12,2.5884870851672757,2,2,"['C', 'C++', 'SQL']",Beginner,"['Python', 'Java', 'SQL']",166,student,Engineering,False
7,101bf10f-cddc-433e-b43a-153eaa0b0098,female,22,CLIMDES,Backend,3,2.4441019143232676,0,1,"['Java', 'C', 'SQL']",Beginner,"['Python', 'Java', 'SQL']",182,graduate,Mathematics,False
8,736cd8e1-a915-4e1a-8f7a-9db3acd69a2a,female,22,CLIMDES,Frontend,12,3.6615418428022464,3,3,"['Python', 'CSS', 'SQL']",Intermediate,"['HTML', 'CSS', 'JavaScript']",233,student,Computer Science,True
9,35ff56c8-1a6b-4bed-ac72-fa29dd3f68e4,female,24,CLIMDES,Frontend,12,2.516871020245965,0,2,"['SQL', 'CSS', 'Excel']",Intermediate,"['HTML', 'CSS', 'JavaScript']",189,student,Engineering,False
